X var,Y var,MIC (strength),MIC-p^2 (nonlinearity),MAS (non-monotonicity),MEV (functionality),MCN (complexity),Linear regression (p)
k__Bacteria;p__Cyanobacteria;c__Chloroplast,k__Bacteria;p__Actinobacteria;c__Actinobacteria,0.19087,0.12971446,0.0,0.19087,2.0,-0.24729645
k__Bacteria;p__Cyanobacteria;c__Chloroplast,k__Bacteria;p__Armatimonadetes;c__0319-6E2,0.19087,0.010560662,0.0,0.19087,2.0,-0.42462847
k__Bacteria;p__Cyanobacteria;c__Chloroplast,k__Bacteria;p__Armatimonadetes;c__OPB50,0.19087,0.17732656,0.0,0.19087,2.0,-0.11637629
k__Bacteria;p__Cyanobacteria;c__Chloroplast,k__Bacteria;p__Bacteroidetes;c__VC2_1_Bac22,0.19087,0.14892079,0.0,0.19087,2.0,-0.20481507
k__Bacteria;p__Cyanobacteria;c__Chloroplast,k__Bacteria;p__Chlorobi;c__BSV26,0.19087,0.096132636,0.0,0.19087,2.0,0.30779436
k__Bacteria;p__Cyanobacteria;c__Chloroplast,k__Bacteria;p__Chloroflexi;Other,0.19087,0.15740088,0.0,0.19087,2.0,0.18294567
k__Bacteria;p__Cyanobacteria;c__Chloroplast,k__Bacteria;p__Chloroflexi;c__C0119,0.19087,0.17923741,0.0,0.19087,2.0,0.10785452
k__Bacteria;p__Cyanobacteria;c__Chloroplast,k__Bacteria;p__Chloroflexi;c__Chloroflexi,0.19087,0.098533124,0.0,0.19087,2.0,-0.30386984
k__Bacteria;p__Cyanobacteria;c__Chloroplast,k__Bacteria;p__Chloroflexi;c__S085,0.19087,0.100460835,0.0,0.19087,2.0,-0.30068117
k__Bacteria;p__Cyanobacteria;c__Chloroplast,k__Bacteria;p__Chloroflexi;c__SAR202,0.19087,-0.096044555,0.0,0.19087,2.0,0.53564405
k__Bacteria;p__Cyanobacteria;c__Chloroplast,k__Bacteria;p__Chloroflexi;c__Thermomicrobia,0.19087,0.10370504,0.0,0.19087,2.0,0.29523712
k__Bacteria;p__Cyanobacteria;c__ML635J-21,k__Archaea;p__Euryarchaeota;c__Methanobacteria,0.19087,0.19069575,0.0,0.19087,2.0,-0.013200435
k__Bacteria;p__Cyanobacteria;c__ML635J-21,k__Bacteria;p__Acidobacteria;c__AT-s2-57,0.19087,0.16825858,0.0,0.19087,2.0,-0.15037094
k__Bacteria;p__Cyanobacteria;c__ML635J-21,k__Bacteria;p__Acidobacteria;c__Acidobacteriia,0.19087,0.14944322,0.0,0.19087,2.0,-0.20353569
k__Bacteria;p__Cyanobacteria;c__ML635J-21,k__Bacteria;p__Acidobacteria;c__BPC102,0.19087,0.18724303,0.0,0.19087,2.0,0.060224332
k__Bacteria;p__Cyanobacteria;c__ML635J-21,k__Bacteria;p__Acidobacteria;c__DA052,0.19087,0.07343876,0.0,0.19087,2.0,-0.34268242
k__Bacteria;p__Cyanobacteria;c__ML635J-21,k__Bacteria;p__Acidobacteria;c__EC1113,0.19087,0.18962203,0.0,0.19087,2.0,-0.035326593
k__Bacteria;p__Cyanobacteria;c__ML635J-21,k__Bacteria;p__Acidobacteria;c__OS-K,0.19087,0.1125656,0.0,0.19087,2.0,-0.27982923
k__Bacteria;p__Cyanobacteria;c__ML635J-21,k__Bacteria;p__Acidobacteria;c__RB25,0.19087,0.1416804,0.0,0.19087,2.0,-0.22178727
k__Bacteria;p__Cyanobacteria;c__ML635J-21,k__Bacteria;p__Acidobacteria;c__S035,0.19087,0.15891293,0.0,0.19087,2.0,-0.1787654
k__Bacteria;p__Cyanobacteria;c__ML635J-21,k__Bacteria;p__Acidobacteria;c__Sva0725,0.19087,-6.853342E-4,0.0,0.19087,2.0,0.43767035
k__Bacteria;p__Cyanobacteria;c__ML635J-21,k__Bacteria;p__Acidobacteria;c__iii1-8,0.19087,0.11034336,0.0,0.19087,2.0,-0.28377217
k__Bacteria;p__Cyanobacteria;c__ML635J-21,k__Bacteria;p__Actinobacteria;c__Acidimicrobiia,0.19087,0.124396674,0.0,0.19087,2.0,-0.2578242
k__Bacteria;p__Cyanobacteria;c__ML635J-21,k__Bacteria;p__Actinobacteria;c__OPB41,0.19087,0.1510269,0.0,0.19087,2.0,-0.19960737
k__Bacteria;p__Cyanobacteria;c__ML635J-21,k__Bacteria;p__Actinobacteria;c__Rubrobacteria,0.19087,0.04868108,0.0,0.19087,2.0,-0.37707946
k__Bacteria;p__Cyanobacteria;c__ML635J-21,k__Bacteria;p__Armatimonadetes;c__Armatimonadia,0.19087,0.12975395,0.0,0.19087,2.0,-0.24721661
k__Bacteria;p__Cyanobacteria;c__ML635J-21,k__Bacteria;p__Armatimonadetes;c__Chthonomonadetes,0.19087,0.10587466,0.0,0.19087,2.0,0.2915396
k__Bacteria;p__Cyanobacteria;c__ML635J-21,k__Bacteria;p__Armatimonadetes;c__OPB50,0.19087,0.112767905,0.0,0.19087,2.0,0.27946752
k__Bacteria;p__Cyanobacteria;c__ML635J-21,k__Bacteria;p__Bacteroidetes;Other,0.19087,0.085972026,0.0,0.19087,2.0,-0.32387957
k__Bacteria;p__Cyanobacteria;c__ML635J-21,k__Bacteria;p__Bacteroidetes;c__BME43,0.19087,0.17585522,0.0,0.19087,2.0,-0.1225348
k__Bacteria;p__Cyanobacteria;c__ML635J-21,k__Bacteria;p__Bacteroidetes;c__SM1A07,0.19087,0.042033806,0.0,0.19087,2.0,-0.38579294
k__Bacteria;p__Cyanobacteria;c__ML635J-21,k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia,0.19087,0.17779069,0.0,0.19087,2.0,-0.11436485
k__Bacteria;p__Cyanobacteria;c__ML635J-21,k__Bacteria;p__Bacteroidetes;c__VC2_1_Bac22,0.19087,0.08071906,0.0,0.19087,2.0,-0.33188996
k__Bacteria;p__Cyanobacteria;c__ML635J-21,k__Bacteria;p__Chlorobi;c__Ignavibacteria,0.19087,0.14113353,0.0,0.19087,2.0,-0.22301675
k__Bacteria;p__Cyanobacteria;c__ML635J-21,k__Bacteria;p__Chloroflexi;c__C0119,0.19087,0.06095314,0.0,0.19087,2.0,-0.3604398
k__Bacteria;p__Cyanobacteria;c__ML635J-21,k__Bacteria;p__Chloroflexi;c__Ellin6529,0.19087,0.11975648,0.0,0.19087,2.0,-0.26667118
k__Bacteria;p__Cyanobacteria;c__ML635J-21,k__Bacteria;p__Chloroflexi;c__Gitt-GS-136,0.19087,0.15540034,0.0,0.19087,2.0,-0.18833393
k__Bacteria;p__Cyanobacteria;c__ML635J-21,k__Bacteria;p__Chloroflexi;c__Ktedonobacteria,0.19087,0.11679597,0.0,0.19087,2.0,-0.27216545
k__Bacteria;p__Cyanobacteria;c__ML635J-21,k__Bacteria;p__Chloroflexi;c__P2-11E,0.19087,0.19015235,0.0,0.19087,2.0,0.02678895
k__Bacteria;p__Cyanobacteria;c__ML635J-21,k__Bacteria;p__Chloroflexi;c__SAR202,0.19087,0.13958053,0.0,0.19087,2.0,-0.22647178
k__Bacteria;p__Cyanobacteria;c__ML635J-21,k__Bacteria;p__Chloroflexi;c__TK17,0.19087,0.16810863,0.0,0.19087,2.0,0.15086873
k__Bacteria;p__Cyanobacteria;c__ML635J-21,k__Bacteria;p__Chloroflexi;c__Thermomicrobia,0.19087,0.012072429,0.0,0.19087,2.0,-0.42284462
k__Bacteria;p__Cyanobacteria;c__ML635J-21,k__Bacteria;p__Cyanobacteria;c__Chloroplast,0.19087,0.1745908,0.0,0.19087,2.0,-0.12758997
k__Bacteria;p__Cyanobacteria;c__Nostocophycideae,k__Archaea;p__Euryarchaeota;c__Methanobacteria,0.19087,0.18202916,0.0,0.19087,2.0,-0.09402579
k__Bacteria;p__Cyanobacteria;c__Nostocophycideae,k__Archaea;p__[Parvarchaeota];c__[Parvarchaea],0.19087,0.12169808,0.0,0.19087,2.0,-0.26300555
k__Bacteria;p__Cyanobacteria;c__Nostocophycideae,k__Bacteria;p__;c__,0.19087,-0.01950334,0.0,0.19087,2.0,0.45866475
k__Bacteria;p__Cyanobacteria;c__Nostocophycideae,k__Bacteria;p__Acidobacteria;c__,0.19087,0.13191144,0.0,0.19087,2.0,-0.24281384
k__Bacteria;p__Cyanobacteria;c__Nostocophycideae,k__Bacteria;p__Acidobacteria;c__BPC102,0.19087,0.1845996,0.0,0.19087,2.0,0.079185925
k__Bacteria;p__Cyanobacteria;c__Nostocophycideae,k__Bacteria;p__Acidobacteria;c__Holophagae,0.19087,0.07012075,0.0,0.19087,2.0,0.34748992
k__Bacteria;p__Cyanobacteria;c__Nostocophycideae,k__Bacteria;p__Acidobacteria;c__Solibacteres,0.19087,0.19001171,0.0,0.19087,2.0,0.029296547
k__Bacteria;p__Cyanobacteria;c__Nostocophycideae,k__Bacteria;p__Armatimonadetes;c__Chthonomonadetes,0.19087,0.1849734,0.0,0.19087,2.0,0.076789334
k__Bacteria;p__Cyanobacteria;c__Nostocophycideae,k__Bacteria;p__Armatimonadetes;c__OPB50,0.19087,0.17101128,0.0,0.19087,2.0,-0.14092095
k__Bacteria;p__Cyanobacteria;c__Nostocophycideae,k__Bacteria;p__Bacteroidetes;Other,0.19087,0.18986575,0.0,0.19087,2.0,0.03168987
k__Bacteria;p__Cyanobacteria;c__Nostocophycideae,k__Bacteria;p__Chlorobi;c__BSV26,0.19087,0.18302858,0.0,0.19087,2.0,-0.08855177
k__Bacteria;p__Cyanobacteria;c__Nostocophycideae,k__Bacteria;p__Chlorobi;c__SJA-28,0.19087,0.1844191,0.0,0.19087,2.0,0.08031754
k__Bacteria;p__Cyanobacteria;c__Nostocophycideae,k__Bacteria;p__Chloroflexi;c__Chloroflexi,0.19087,0.1901021,0.0,0.19087,2.0,-0.027711105
k__Bacteria;p__Cyanobacteria;c__Nostocophycideae,k__Bacteria;p__Chloroflexi;c__Thermomicrobia,0.19087,0.1883744,0.0,0.19087,2.0,0.04995601
k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae,k__Bacteria;p__Acidobacteria;c__AT-s2-57,0.19087,0.16525127,0.0,0.19087,2.0,-0.16005854
k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae,k__Bacteria;p__Acidobacteria;c__Acidobacteria-6,0.19087,0.14589116,0.0,0.19087,2.0,-0.21208216
k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae,k__Bacteria;p__Acidobacteria;c__BPC102,0.19087,0.19056344,0.0,0.19087,2.0,0.017509077
k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae,k__Bacteria;p__Acidobacteria;c__OS-K,0.19087,0.08540248,0.0,0.19087,2.0,-0.32475764
k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae,k__Bacteria;p__Acidobacteria;c__RB25,0.19087,0.15428461,0.0,0.19087,2.0,-0.19127308
k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae,k__Bacteria;p__Acidobacteria;c__S035,0.19087,0.15956731,0.0,0.19087,2.0,-0.17692566
k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae,k__Bacteria;p__Actinobacteria;c__Acidimicrobiia,0.19087,0.1102931,0.0,0.19087,2.0,-0.2838607
k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae,k__Bacteria;p__Actinobacteria;c__OPB41,0.19087,0.16114134,0.0,0.19087,2.0,-0.17242002
k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae,k__Bacteria;p__Actinobacteria;c__Rubrobacteria,0.19087,0.13897263,0.0,0.19087,2.0,-0.22780995
k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae,k__Bacteria;p__Actinobacteria;c__Thermoleophilia,0.19087,0.18534222,0.0,0.19087,2.0,0.074349046
k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae,k__Bacteria;p__Armatimonadetes;c__0319-6E2,0.19087,0.039197758,0.0,0.19087,2.0,-0.3894512
k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae,k__Bacteria;p__Armatimonadetes;c__Armatimonadia,0.19087,-0.02562721,0.0,0.19087,2.0,0.4652926
k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae,k__Bacteria;p__Armatimonadetes;c__SJA-176,0.19087,0.09499249,0.0,0.19087,2.0,-0.30964094
k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae,k__Bacteria;p__Armatimonadetes;c__[Fimbriimonadia],0.19087,0.1398461,0.0,0.19087,2.0,-0.2258847
k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae,k__Bacteria;p__Bacteroidetes;Other,0.19087,0.18150955,0.0,0.19087,2.0,-0.096749425
k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae,k__Bacteria;p__Bacteroidetes;c__Cytophagia,0.19087,0.14968884,0.0,0.19087,2.0,-0.2029314
k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae,k__Bacteria;p__Bacteroidetes;c__SM1A07,0.19087,0.1058781,0.0,0.19087,2.0,-0.2915337
k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae,k__Bacteria;p__Chlamydiae;c__Chlamydiia,0.19087,0.11890707,0.0,0.19087,2.0,-0.26825908
k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae,k__Bacteria;p__Chlorobi;c__Ignavibacteria,0.19087,0.19086982,0.0,0.19087,2.0,-4.1448424E-4
k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae,k__Bacteria;p__Chlorobi;c__OPB56,0.19087,0.14874029,0.0,0.19087,2.0,-0.20525524
k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae,k__Bacteria;p__Chloroflexi;c__C0119,0.19087,0.11757624,0.0,0.19087,2.0,-0.2707282
k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae,k__Bacteria;p__Chloroflexi;c__Dehalococcoidetes,0.19087,0.17662954,0.0,0.19087,2.0,-0.11933342
k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae,k__Bacteria;p__Chloroflexi;c__Ellin6529,0.19087,0.16747817,0.0,0.19087,2.0,-0.15294385
k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae,k__Bacteria;p__Chloroflexi;c__Gitt-GS-136,0.19087,0.15375078,0.0,0.19087,2.0,-0.1926635
k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae,k__Bacteria;p__Chloroflexi;c__Ktedonobacteria,0.19087,0.17129669,0.0,0.19087,2.0,-0.1399047
k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae,k__Bacteria;p__Chloroflexi;c__SAR202,0.19087,0.18975297,0.0,0.19087,2.0,-0.03342206
k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae,k__Bacteria;p__Chloroflexi;c__SHA-26,0.19087,0.1887097,0.0,0.19087,2.0,-0.046478912
k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae,k__Bacteria;p__Chloroflexi;c__Thermomicrobia,0.19087,0.10033071,0.0,0.19087,2.0,-0.30089748
k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae,k__Bacteria;p__Cyanobacteria;c__ML635J-21,0.19087,0.18930313,0.0,0.19087,2.0,0.039583653
k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae,k__Bacteria;p__Cyanobacteria;c__Nostocophycideae,0.19087,0.09979185,0.0,0.19087,2.0,-0.30179158
k__Bacteria;p__Elusimicrobia;c__4-29,k__Bacteria;p__Acidobacteria;c__AT-s2-57,0.19087,0.17116484,0.0,0.19087,2.0,-0.14037505
k__Bacteria;p__Elusimicrobia;c__4-29,k__Bacteria;p__Acidobacteria;c__OS-K,0.19087,0.096741304,0.0,0.19087,2.0,-0.306804
k__Bacteria;p__Elusimicrobia;c__4-29,k__Bacteria;p__Acidobacteria;c__S035,0.19087,0.16757934,0.0,0.19087,2.0,-0.1526128
k__Bacteria;p__Elusimicrobia;c__4-29,k__Bacteria;p__Actinobacteria;c__Actinobacteria,0.19087,0.15470368,0.0,0.19087,2.0,-0.19017445
k__Bacteria;p__Elusimicrobia;c__4-29,k__Bacteria;p__Actinobacteria;c__OPB41,0.19087,0.16490509,0.0,0.19087,2.0,-0.16113634
k__Bacteria;p__Elusimicrobia;c__4-29,k__Bacteria;p__Actinobacteria;c__Rubrobacteria,0.19087,0.14633533,0.0,0.19087,2.0,-0.2110324
k__Bacteria;p__Elusimicrobia;c__4-29,k__Bacteria;p__Actinobacteria;c__Thermoleophilia,0.19087,0.19086538,0.0,0.19087,2.0,-0.002150887
k__Bacteria;p__Elusimicrobia;c__4-29,k__Bacteria;p__Armatimonadetes;c__0319-6E2,0.19087,0.034675315,0.0,0.19087,2.0,-0.39521474
k__Bacteria;p__Elusimicrobia;c__4-29,k__Bacteria;p__Armatimonadetes;c__Armatimonadia,0.19087,0.0019720644,0.0,0.19087,2.0,0.4346239
k__Bacteria;p__Elusimicrobia;c__4-29,k__Bacteria;p__Armatimonadetes;c__SJA-176,0.19087,0.11655219,0.0,0.19087,2.0,-0.27261293
k__Bacteria;p__Elusimicrobia;c__4-29,k__Bacteria;p__Armatimonadetes;c__[Fimbriimonadia],0.19087,0.15035541,0.0,0.19087,2.0,-0.20128237
k__Bacteria;p__Elusimicrobia;c__4-29,k__Bacteria;p__Bacteroidetes;c__SM1A07,0.19087,0.12196894,0.0,0.19087,2.0,-0.26249012
k__Bacteria;p__Elusimicrobia;c__4-29,k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia,0.19087,0.17707273,0.0,0.19087,2.0,-0.11746179
k__Bacteria;p__Elusimicrobia;c__4-29,k__Bacteria;p__Chlamydiae;c__Chlamydiia,0.19087,0.0812744,0.0,0.19087,2.0,-0.33105227
k__Bacteria;p__Elusimicrobia;c__4-29,k__Bacteria;p__Chlorobi;c__OPB56,0.19087,0.15501022,0.0,0.19087,2.0,-0.1893668
k__Bacteria;p__Elusimicrobia;c__4-29,k__Bacteria;p__Chloroflexi;c__Dehalococcoidetes,0.19087,0.1765505,0.0,0.19087,2.0,-0.119664155
k__Bacteria;p__Elusimicrobia;c__4-29,k__Bacteria;p__Chloroflexi;c__Ellin6529,0.19087,0.17223719,0.0,0.19087,2.0,-0.13650206
k__Bacteria;p__Elusimicrobia;c__4-29,k__Bacteria;p__Chloroflexi;c__Gitt-GS-136,0.19087,0.1623213,0.0,0.19087,2.0,-0.16896363
k__Bacteria;p__Elusimicrobia;c__4-29,k__Bacteria;p__Chloroflexi;c__Ktedonobacteria,0.19087,0.16703747,0.0,0.19087,2.0,-0.15437788
k__Bacteria;p__Elusimicrobia;c__4-29,k__Bacteria;p__Chloroflexi;c__S085,0.19087,0.16390836,0.0,0.19087,2.0,-0.16420001
k__Bacteria;p__Elusimicrobia;c__4-29,k__Bacteria;p__Chloroflexi;c__SAR202,0.19087,0.18302584,0.0,0.19087,2.0,-0.08856732
k__Bacteria;p__Elusimicrobia;c__4-29,k__Bacteria;p__Chloroflexi;c__TK17,0.19087,0.12981711,0.0,0.19087,2.0,-0.24708883
k__Bacteria;p__Elusimicrobia;c__4-29,k__Bacteria;p__Chloroflexi;c__Thermomicrobia,0.19087,0.095519625,0.0,0.19087,2.0,-0.30878857
k__Bacteria;p__Elusimicrobia;c__4-29,k__Bacteria;p__Cyanobacteria;c__4C0d-2,0.19087,0.17623761,0.0,0.19087,2.0,-0.120964386
k__Bacteria;p__Elusimicrobia;c__4-29,k__Bacteria;p__Cyanobacteria;c__Nostocophycideae,0.19087,0.11913204,0.0,0.19087,2.0,-0.26783943
k__Bacteria;p__Elusimicrobia;c__Endomicrobia,k__Archaea;p__Crenarchaeota;c__Thaumarchaeota,0.19087,0.18908325,0.0,0.19087,2.0,-0.042269956
k__Bacteria;p__Elusimicrobia;c__Endomicrobia,k__Bacteria;p__;c__,0.19087,0.16299528,0.0,0.19087,2.0,0.16695727
k__Bacteria;p__Elusimicrobia;c__Endomicrobia,k__Bacteria;p__Acidobacteria;c__,0.19087,0.14300056,0.0,0.19087,2.0,-0.21879086
k__Bacteria;p__Elusimicrobia;c__Endomicrobia,k__Bacteria;p__Acidobacteria;c__AT-s2-57,0.19087,0.17889504,0.0,0.19087,2.0,0.10943018
k__Bacteria;p__Elusimicrobia;c__Endomicrobia,k__Bacteria;p__Acidobacteria;c__DA052,0.19087,0.17922747,0.0,0.19087,2.0,-0.10790058
k__Bacteria;p__Elusimicrobia;c__Endomicrobia,k__Bacteria;p__Acidobacteria;c__RB25,0.19087,0.19068268,0.0,0.19087,2.0,0.013686327
k__Bacteria;p__Elusimicrobia;c__Endomicrobia,k__Bacteria;p__Acidobacteria;c__Solibacteres,0.19087,0.18846172,0.0,0.19087,2.0,0.04907419
k__Bacteria;p__Elusimicrobia;c__Endomicrobia,k__Bacteria;p__Acidobacteria;c__iii1-8,0.19087,0.1457039,0.0,0.19087,2.0,-0.21252318
k__Bacteria;p__Elusimicrobia;c__Endomicrobia,k__Bacteria;p__Armatimonadetes;c__0319-6E2,0.19087,0.1783414,0.0,0.19087,2.0,0.111931205
k__Bacteria;p__Elusimicrobia;c__Endomicrobia,k__Bacteria;p__Armatimonadetes;c__Armatimonadia,0.19087,0.14909343,0.0,0.19087,2.0,-0.20439316
k__Bacteria;p__Elusimicrobia;c__Endomicrobia,k__Bacteria;p__BHI80-139;c__,0.19087,0.1518057,0.0,0.19087,2.0,-0.19764693
k__Bacteria;p__Elusimicrobia;c__Endomicrobia,k__Bacteria;p__Chloroflexi;Other,0.19087,0.16869578,0.0,0.19087,2.0,-0.1489101
k__Bacteria;p__Elusimicrobia;c__Endomicrobia,k__Bacteria;p__Chloroflexi;c__Thermomicrobia,0.19087,0.17519812,0.0,0.19087,2.0,-0.1251874
k__Bacteria;p__FBP;c__,k__Bacteria;p__Bacteroidetes;Other,0.19087,0.181769,0.0,0.19087,2.0,0.09539921
k__Bacteria;p__FBP;c__,k__Bacteria;p__Bacteroidetes;c__BME43,0.19087,0.15266499,0.0,0.19087,2.0,0.195461
k__Bacteria;p__FBP;c__,k__Bacteria;p__Chloroflexi;c__SHA-26,0.19087,0.19074328,0.0,0.19087,2.0,-0.011256647
k__Bacteria;p__FCPU426;c__,k__Archaea;p__Crenarchaeota;c__MCG,0.19087,0.15165526,0.0,0.19087,2.0,-0.19802712
k__Bacteria;p__FCPU426;c__,k__Bacteria;p__Acidobacteria;Other,0.19087,0.13201594,0.0,0.19087,2.0,-0.24259856
k__Bacteria;p__FCPU426;c__,k__Bacteria;p__Acidobacteria;c__,0.19087,0.15407462,0.0,0.19087,2.0,-0.19182122
k__Bacteria;p__FCPU426;c__,k__Bacteria;p__Acidobacteria;c__EC1113,0.19087,0.19013548,0.0,0.19087,2.0,-0.027102215
k__Bacteria;p__FCPU426;c__,k__Bacteria;p__Acidobacteria;c__Holophagae,0.19087,0.17701459,0.0,0.19087,2.0,-0.117708996
k__Bacteria;p__FCPU426;c__,k__Bacteria;p__Acidobacteria;c__PAUC37f,0.19087,0.18614924,0.0,0.19087,2.0,0.06870781
k__Bacteria;p__FCPU426;c__,k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria],0.19087,0.13824143,0.0,0.19087,2.0,-0.22940919
k__Bacteria;p__FCPU426;c__,k__Bacteria;p__Actinobacteria;c__Acidimicrobiia,0.19087,-0.0156748,0.0,0.19087,2.0,0.454472
k__Bacteria;p__FCPU426;c__,k__Bacteria;p__Actinobacteria;c__MB-A2-108,0.19087,0.17105019,0.0,0.19087,2.0,0.14078286
k__Bacteria;p__FCPU426;c__,k__Bacteria;p__Actinobacteria;c__Thermoleophilia,0.19087,0.18430465,0.0,0.19087,2.0,0.0810268
k__Bacteria;p__FCPU426;c__,k__Bacteria;p__Armatimonadetes;c__OPB50,0.19087,0.12699118,0.0,0.19087,2.0,-0.2527426
k__Bacteria;p__FCPU426;c__,k__Bacteria;p__Bacteroidetes;c__BME43,0.19087,0.19086501,0.0,0.19087,2.0,0.0022356226
k__Bacteria;p__FCPU426;c__,k__Bacteria;p__Bacteroidetes;c__Flavobacteriia,0.19087,0.07350111,0.0,0.19087,2.0,0.34259143
k__Bacteria;p__FCPU426;c__,k__Bacteria;p__Bacteroidetes;c__VC2_1_Bac22,0.19087,0.16992515,0.0,0.19087,2.0,0.14472334
k__Bacteria;p__FCPU426;c__,k__Bacteria;p__Chlorobi;c__BSV26,0.19087,0.11477157,0.0,0.19087,2.0,-0.27585945
k__Bacteria;p__FCPU426;c__,k__Bacteria;p__Chloroflexi;c__Dehalococcoidetes,0.19087,0.1612601,0.0,0.19087,2.0,0.1720753
k__Bacteria;p__FCPU426;c__,k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae,0.19087,0.1599659,0.0,0.19087,2.0,-0.1757956
k__Bacteria;p__Fibrobacteres;c__Fibrobacteria,k__Archaea;p__Crenarchaeota;c__MBGA,0.19087,0.17316628,0.0,0.19087,2.0,0.13305536
k__Bacteria;p__Fibrobacteres;c__Fibrobacteria,k__Archaea;p__Crenarchaeota;c__Thaumarchaeota,0.19087,0.1286222,0.0,0.19087,2.0,-0.24949507
k__Bacteria;p__Fibrobacteres;c__Fibrobacteria,k__Archaea;p__Crenarchaeota;c__Thermoprotei,0.19087,0.16589276,0.0,0.19087,2.0,0.15804188
k__Bacteria;p__Fibrobacteres;c__Fibrobacteria,k__Bacteria;p__Acidobacteria;c__Acidobacteria-6,0.19087,0.15455708,0.0,0.19087,2.0,-0.19055952
k__Bacteria;p__Fibrobacteres;c__Fibrobacteria,k__Bacteria;p__Acidobacteria;c__Acidobacteriia,0.19087,0.14666706,0.0,0.19087,2.0,-0.21024497
k__Bacteria;p__Fibrobacteres;c__Fibrobacteria,k__Bacteria;p__Acidobacteria;c__DA052,0.19087,0.08124884,0.0,0.19087,2.0,-0.33109087
k__Bacteria;p__Fibrobacteres;c__Fibrobacteria,k__Bacteria;p__Acidobacteria;c__EC1113,0.19087,0.19078569,0.0,0.19087,2.0,0.00918236
k__Bacteria;p__Fibrobacteres;c__Fibrobacteria,k__Bacteria;p__Acidobacteria;c__TM1,0.19087,0.18081012,0.0,0.19087,2.0,-0.10029893
k__Bacteria;p__Fibrobacteres;c__Fibrobacteria,k__Bacteria;p__Actinobacteria;c__MB-A2-108,0.19087,0.1364247,0.0,0.19087,2.0,0.23333515
k__Bacteria;p__Fibrobacteres;c__Fibrobacteria,k__Bacteria;p__Actinobacteria;c__Thermoleophilia,0.19087,0.14339095,0.0,0.19087,2.0,-0.2178969
k__Bacteria;p__Fibrobacteres;c__Fibrobacteria,k__Bacteria;p__Armatimonadetes;c__OPB50,0.19087,0.1531251,0.0,0.19087,2.0,-0.19428046
k__Bacteria;p__Fibrobacteres;c__Fibrobacteria,k__Bacteria;p__Armatimonadetes;c__SJA-176,0.19087,0.07011678,0.0,0.19087,2.0,-0.34749565
k__Bacteria;p__Fibrobacteres;c__Fibrobacteria,k__Bacteria;p__Bacteroidetes;Other,0.19087,0.09777863,0.0,0.19087,2.0,-0.3051088
k__Bacteria;p__Fibrobacteres;c__Fibrobacteria,k__Bacteria;p__Bacteroidetes;c__VC2_1_Bac22,0.19087,-0.04233843,0.0,0.19087,2.0,0.4829166
k__Bacteria;p__Fibrobacteres;c__Fibrobacteria,k__Bacteria;p__Chlorobi;c__Ignavibacteria,0.19087,0.1356117,0.0,0.19087,2.0,-0.23507085
k__Bacteria;p__Fibrobacteres;c__Fibrobacteria,k__Bacteria;p__Chlorobi;c__OPB56,0.19087,0.08708411,0.0,0.19087,2.0,-0.3221582
k__Bacteria;p__Fibrobacteres;c__Fibrobacteria,k__Bacteria;p__Chloroflexi;c__Ellin6529,0.19087,0.044999123,0.0,0.19087,2.0,-0.38193047
k__Bacteria;p__Fibrobacteres;c__Fibrobacteria,k__Bacteria;p__Chloroflexi;c__TK17,0.19087,0.17777452,0.0,0.19087,2.0,0.11443551
k__Bacteria;p__Fibrobacteres;c__Fibrobacteria,k__Bacteria;p__Cyanobacteria;c__Chloroplast,0.19087,0.1906595,0.0,0.19087,2.0,-0.0145090595
